T_K,frac_orbach,frac_raman,frac_qtm
2.0,0.0,0.002333846016523978,0.997666153983476
4.0,2.2063880346221298e-274,0.01735978960853932,0.9826402103914607
5.5,4.024146880622827e-196,0.04281120211119343,0.9571887978888065
7.5,1.731863415943009e-140,0.09952426651054799,0.900475733489452
10.0,2.828950311432249e-102,0.20368943636560755,0.7963105636343926
14.0,1.3317980459510663e-69,0.4056567371920673,0.5943432628079327
20.0,3.0420686060443534e-45,0.6589057998307873,0.34109420016921266
24.0,7.667999913809185e-36,0.7667819683955459,0.23321803160445403
52.0,5.797185450553618e-11,0.9690971649403106,0.030902835001717605
55.0,7.913802421002971e-10,0.9736381582829081,0.026361840925711724
58.0,8.17282489323366e-09,0.9773356261235747,0.022664365703600364
61.0,6.656764083553566e-08,0.9803750343342803,0.019624899098078925
64.0,4.423127902580886e-07,0.9828952520780045,0.017104305609205242
67.0,2.464883675619341e-06,0.9850005414151198,0.01499699370120456
70.0,1.1787217526682899e-05,0.9867663119517749,0.013221900830698245
73.0,4.9302333260925193e-05,0.9882346701930638,0.011716027473675249
76.0,0.00018328086795526595,0.9893870991200177,0.010429620012026953
79.0,0.0006137430589358068,0.9900639620172306,0.00932229492383362
82.0,0.0018719133536764427,0.9897686171727071,0.008359469473616392
85.0,0.005245358512561094,0.9872461509117465,0.007508490575692536
88.0,0.013580733871180481,0.979685238636469,0.006734027492350547
91.0,0.03253679058019356,0.9614700160876278,0.0059931933321786535
94.0,0.07180444359118363,0.9229617460830788,0.005233810325737597
97.0,0.14421386765930763,0.8513809802755565,0.004405152065135889
100.0,0.25891838717301374,0.7375896729122227,0.003491939914763646
103.0,0.4091409209027486,0.5883039708653708,0.002555108231880564
106.0,0.5684220234695786,0.42986099250639287,0.0017169840240285014
109.0,0.7069608929331066,0.2919640947264201,0.0010750123404733743
112.0,0.8102034429958928,0.1891531240921065,0.000643432912000648
115.0,0.8797611886480657,0.11986134013806553,0.0003774712138686544
118.0,0.9241182428611598,0.07566072646711292,0.00022103067172726297
121.0,0.9517562952052303,0.04811307520972482,0.00013062958504494418
124.0,0.9689111519073589,0.03101045786122181,7.83902314193104e-05
127.0,0.9796342527725429,0.02031784579929587,4.79014281611646e-05
130.0,0.9864228622966864,0.013547301216574669,2.983648673886651e-05
133.0,0.9907875346514764,0.009193521174878202,1.8944173645451036e-05
136.0,0.9936404977280106,0.006347247005424968,1.2255266564455722e-05
139.0,0.9955366956681662,0.004455232578643626,8.07175319023009e-06
142.0,0.9968177652947262,0.003176826647014523,5.408058259251619e-06
145.0,0.9976970176150568,0.002299299744432143,3.6826405110679356e-06
148.0,0.998309657347772,0.0016877961621049884,2.5464901228929557e-06
151.0,0.9987426970324743,0.0012555163842816275,1.7865832439812843e-06
