A,Ueff,R,N,Q,sA,sU,sR,sN,sQ,rho_AU,rho_RN,loss,success,nit,AU_window,RN_window,Q_window,lambda_AU,lambda_RN,lambda_Q,FK_window
-11.509751433420714,2846.3011361490667,-5.7601324336969615,3.171615962285677,1.9210730176020365,0.31576915774385506,5.697853481741896,2.709368939203948,1.6363261732893173,0.74381202274557,0.9991043798531756,-0.9903894794350179,0.6925947781652492,True,642,"106,151","20,103","2,10",1.0,1.0,1.0,
-11.532934963211954,2829.538451818479,-5.7397423817309505,3.1508887387853717,1.9005052706845045,0.3146422255954273,12.202682047191166,2.605223973580905,1.5564880591502683,0.7441321886872705,0.9984511519398026,-0.987479653700447,0.5344912005022484,True,652,"106,151","20,103","2,10",1.0,1.0,1.0,
-11.528207224269245,2649.5862796513275,-5.741694182238611,3.0945031447690123,1.8709250426921669,0.0010004923297380463,88.18016513636012,2.4871065123247713,1.4146764445120084,0.6960985131257333,0.9947159291800285,-0.9813471325508902,0.17494891280880512,False,1200,"106,151","20,103","2,10",1.0,1.0,1.0,
