T_K,frac_orbach,frac_raman,frac_qtm
2.0,1.7025314295414285e-175,0.0014831974968192005,0.9985168025031809
3.0,8.337383393771559e-115,0.005540916571838008,0.994459083428162
4.0,1.8329716693163604e-84,0.014035333036914422,0.9859646669630856
5.0,2.9120095585016384e-66,0.028623779766823065,0.9713762202331769
6.0,3.913398671844822e-54,0.05068980283777311,0.9493101971622269
7.0,1.7727769421016446e-45,0.08110720135968456,0.9188927986403154
8.0,5.4017281218220875e-39,0.12004391073408814,0.8799560892659118
9.0,5.8401868740016515e-34,0.1668693754407028,0.8331306245592973
10.0,6.078624386166999e-30,0.2202091707432292,0.7797908292567708
12.0,6.0468176238409444e-24,0.3385007194826965,0.6614992805173036
14.0,1.0713072421883088e-19,0.45825501802888,0.5417449819711201
16.0,1.5287767002728286e-16,0.5666052217525432,0.43339477824745665
18.0,4.082980833787998e-14,0.6574720634009179,0.34252793659904124
20.0,3.3915497887262717e-12,0.7301887311616145,0.269811268834994
22.0,1.2110134451164468e-10,0.7869004236929154,0.21309957618598327
24.0,2.3055735201139407e-09,0.8306225016847256,0.16937749600970078
26.0,2.715305411566978e-08,0.8642476462866054,0.1357523265603405
28.0,2.1985453806469285e-07,0.8901873905292893,0.10981238961617272
30.0,1.3218381549275012e-06,0.9103239927884038,0.08967468537344127
32.0,6.250113694144105e-06,0.9260786434100869,0.07391510647621902
34.0,2.4278600178955133e-05,0.9385040320623516,0.06147168933746946
36.0,8.013851456626447e-05,0.9483642317075307,0.051555629777903025
38.0,0.00023079830278842847,0.9561895195288982,0.04357968216831327
40.0,0.0005922608079728603,0.962303851387982,0.03710388780404522
42.0,0.001377125219883399,0.966827226067558,0.0317956487125586
44.0,0.0029408405875366137,0.9696583259081765,0.027400833504286806
46.0,0.005830575685287273,0.9704463212511142,0.02372310306359848
48.0,0.010825532193122503,0.9685651744163514,0.020609293390525946
50.0,0.018951743081668936,0.9631089983035972,0.01793925861473384
52.0,0.0314494632451973,0.9529315442893757,0.015618992465426975
54.0,0.04967083308510394,0.9367530687582405,0.013576098156655694
56.0,0.07489536158697922,0.9133478593893629,0.011756779023657805
58.0,0.10807595757746541,0.8818005095922045,0.010123532830330125
60.0,0.149566350441468,0.8417808794514912,0.008652770107040915
62.0,0.19891539869550462,0.7937528118348278,0.0073317894696676164
64.0,0.25481784868371044,0.7390271525654662,0.006154998750823365
66.0,0.3152663611271004,0.6796138017229962,0.005119837149903334
68.0,0.3778702993429922,0.617906477893418,0.004223222763589753
70.0,0.4402384071364538,0.5563023196244573,0.0034592732390888036
72.0,0.5003071990302954,0.49687422570820855,0.0028185752614960017
74.0,0.5565379343909265,0.4411733352492036,0.002288730359869866
76.0,0.6079687645909876,0.39017564349759276,0.0018555919114196528
78.0,0.6541570861662984,0.3443382982514461,0.0015046155822557225
80.0,0.6950644017407788,0.3037136474097041,0.0012219508495172901
82.0,0.7309286245930577,0.26807623982926365,0.0009951355776786084
84.0,0.7621514019664606,0.2370351798779824,0.0008134181555570833
86.0,0.7892117840707132,0.2101204113580584,0.0006678045712284145
88.0,0.8126069120150585,0.18684215073501115,0.0005509372499303637
90.0,0.8328152584957369,0.16672784990551576,0.0004568915987474306
92.0,0.8502765283751925,0.14934252362332323,0.00038094800148415377
94.0,0.8653828100511511,0.13429781730115165,0.0003193726476971901
96.0,0.8784767460163393,0.12125403066557068,0.0002692233180899677
98.0,0.8898537192931484,0.1099180951584031,0.0002281855484485353
100.0,0.8997660708498773,0.1000394904283968,0.00019443872172588984
102.0,0.9084281146182128,0.09140533650511512,0.00016654887667201957
104.0,0.9160212314867369,0.08383538444175848,0.00014338407150454996
106.0,0.9226986571743312,0.0771772946823908,0.00012404814327792563
108.0,0.9285897848292974,0.07130238603006155,0.00010782914064111303
110.0,0.9338039242237322,0.06610191648382856,9.415929243926464e-05
112.0,0.9384335262987682,0.061483889739831404,8.258396140041214e-05
114.0,0.9425569154698864,0.0573703469738289,7.273755628468381e-05
116.0,0.9462405861320174,0.05369508905188887,6.432481609371022e-05
118.0,0.9495411227801456,0.05040177098348706,5.71062363674604e-05
120.0,0.952506800318331,0.047442312992084686,5.0886689584300415e-05
