T,Au,Uu,Ru,Nu,Qu,As,Us,Rs,Ns,Qs
2.0,-8.49392089451983,857.1430072203375,-3.2076287592493102,3.2848040065791677,-0.8267767319134732,0.085807494228072,2.219394066733251,0.525779134430115,0.2298467242122593,0.565931436171182
3.0,-8.323347576920273,850.6539549950813,-3.1453396039251675,3.2963648941862447,-0.8391737638383151,0.0879175904755044,2.2062108739842627,0.5188731139977498,0.2283839317970861,0.5620768858012827
4.0,-8.448441218699351,874.062422406307,-3.6394571867565926,3.159683791161944,-0.8573778865105017,0.1764639712390813,2.2841643998868237,0.4841993158955141,0.2372471110010464,0.5812067053009973
5.0,-7.878811047867202,819.7219233658789,-4.013205290426789,2.792881832657934,-0.8626397701832595,0.08291224023847381,2.0184960266527736,0.5729381282966943,0.22804656278258187,0.5818446418763707
6.0,-8.49951578735881,866.2654980110915,-3.288600043645028,0.5151597303007422,-0.8728524833459881,0.1300790049344655,2.3127987786102224,0.4907050691462569,0.1757444062526165,0.5515411739145083
7.0,-8.482133134193578,895.914586745389,-3.469843537532789,1.6775520283957728,-0.8797307962699488,0.08338860011939328,2.3410633786464383,0.5170936027303942,0.2301096434737478,0.513967170853883
8.0,-8.90700002596262,786.4205687144818,-3.7920302245633586,2.524743489359807,-0.9032416081629862,0.09501568619044473,2.0884151483383286,0.5029628788174522,0.22586028491075133,0.4776888711668152
9.0,-8.149417782307385,803.6279599267455,-3.5638059413510295,2.101738625927136,-0.9362919957215259,0.0741144793792887,2.034233397056408,0.5922783793313888,0.15959089649743352,0.43491666826379993
10.0,-8.283019892858631,634.4924114282348,-2.92733048426608,2.9663368853205334,-0.8368969713341694,0.07934506573316208,1.9996034320497011,0.6677645457634762,0.07096142862551105,0.44342747975992725
12.0,-7.427682711359001,813.7983768952497,-3.3914060959037435,3.83546849206431,-0.5888960437427402,0.078572810658901,2.1452832204492718,0.6256164913633603,0.19385647679556983,0.46319705062912536
14.0,-7.666376062336018,759.6835208057213,-2.7917565838163845,3.285020213865523,-0.4922882803841855,0.08310110658035534,2.4959643663314868,0.5477392493442442,0.19021993096649223,0.4713031646502358
16.0,-8.260949297946185,875.4882804538786,-2.785353108547336,3.1948934486549296,-0.6303460242779881,0.07836747256106907,2.0031762511596374,0.5594289582801296,0.19926306382571424,0.46384003383569394
18.0,-8.207511137622808,893.3436815235666,-2.8970560138036916,3.2867047243404763,-0.5203992237689655,0.08039702247147616,2.358169983564066,0.5349863000073835,0.2060256332262437,0.49797768887404187
20.0,-10.14476984444785,780.1943862509895,-2.9991775204108553,3.361891232180536,-0.3589514893326422,0.080428785067939,2.2367182137417383,0.5038990046770144,0.19872125308054547,0.5007306444468574
