A,U,R,N,Q,sA,sU,sR,sN,sQ,rho_AU,rho_RN,loss,success,nit,AU_window,RN_window,Q_window,lambda_AU,lambda_RN,lambda_Q,FK_window
-11.017442104218595,903.2296062681512,-4.907094667551579,3.9244237376712405,-0.1827726263995239,0.3794905172240702,0.08377130067689596,3.361629848115253,2.267274506109402,0.6383584622711379,2.0469212462653245e-05,-0.9992659368976609,0.03127798550892084,False,1200,"41,58","22,38","9.7,20",1.0,1.0,1.0,
-11.018991704708409,903.7669987498974,-4.818234394860831,3.801949018635746,-0.14940604789484097,0.25778950859779715,14.215746991188764,2.107031899833808,1.3884383142468184,0.578758026227683,0.9894901024707343,-0.9973245758281044,0.06348548724415164,True,270,"41,58","22,39","9.7,20",1.0,1.0,1.0,
-10.878185692239992,868.4110876205762,-4.9885586220404035,3.8765080390395266,-0.15487871484160717,0.27507870457236366,9.928607211092169,2.117397505537388,1.3632557092153608,0.5782163905363207,0.9891283731197984,-0.9990357176658294,0.07592098642084816,True,402,"41,58","22,38","9.7,20",1.0,1.0,1.0,
-10.959763875499572,870.0585825602541,-5.025325298087223,3.88808723066803,-0.15120984252427,0.31456561802250305,4.969481692364049,2.1942525714281356,1.4036606847129591,0.576621127906163,0.9994366035487388,-0.9998074688496862,0.12041557362229328,True,554,"41,58","22,40","9.7,20",1.0,1.0,1.0,
-11.096210343009714,915.8460135742549,-5.032693376611232,3.969995920434128,-0.12562740813944645,0.2652818984844834,14.03421436774188,2.663316489524257,1.7944189151093162,0.5800484492336822,0.9866944075032993,-0.9986379192459763,0.06098118918572707,True,413,"41,58","22,40","9.7,20",1.0,1.0,1.0,
