param,value
mu_A,-11.160787716044256
mu_U,908.8175305580261
sd_A,0.20000719568053948
sd_U,17.376381768349482
rho,0.999
mu_q,-0.16525557535735308
sd_q,0.5805836944723858
mu_R,-5.2846100621542975
mu_N,4.260671017953754
sd_R,2.470543044760126
sd_N,1.5936630941460554
rho,-0.998389156652937
