T_K,frac_orbach,frac_raman,frac_qtm
40.0,1.3686459923668637e-08,0.9999999863121715,1.3686459923668633e-12
42.0,1.0027965308243279e-07,0.9999998997191889,1.1580436340999503e-12
44.0,6.085336210784344e-07,0.9999993914653914,9.874951055972414e-13
46.0,3.135608816339403e-06,0.9999968643903354,8.480476199945788e-13
48.0,1.4006310991395597e-05,0.9999859936882755,7.330204949371412e-13
50.0,5.518644143522373e-05,0.9999448135579273,6.373576655572846e-13
52.0,0.00019462553624603916,0.9998053744631967,5.571719357271618e-13
54.0,0.0006219747094642277,0.9993780252900464,4.89408987909306e-13
56.0,0.0018196528537049632,0.9981803471458633,4.3157983741399737e-13
58.0,0.004913108399648871,0.9950868915999697,3.81523607845141e-13
60.0,0.012310451990442083,0.9876895480092208,3.371775911592453e-13
62.0,0.028683186765204653,0.9713168132344989,2.9636742972618075e-13
64.0,0.06197024152514778,0.9380297584745955,2.567237109073706e-13
66.0,0.12303937897583234,0.8769606210239518,2.1600431058900854e-13
68.0,0.22129343101915736,0.7787065689806696,1.7316316327045816e-13
70.0,0.35536420924954576,0.6446357907503244,1.2980236091163234e-13
71.9,0.49931590965801836,0.5006840903418895,9.198144921399468e-14
73.81,0.6364711177796517,0.3635288822202871,6.10493588322064e-14
75.69,0.747275389966308,0.2527246100336531,3.893867062507895e-14
77.6,0.8303958625888291,0.16960413741114685,2.3994084318371567e-14
79.49,0.8871152112559184,0.11288478874406682,1.470661750876756e-14
81.38,0.9249030760664041,0.07509692393358693,9.027140634780388e-15
83.29,0.9499038570916265,0.050096142908367995,5.561965413586888e-15
85.19,0.9661284140647729,0.033871585935223554,3.4810669905660035e-15
87.11,0.9768770616516619,0.02312293834833592,2.20176630476518e-15
89.0,0.9838899275312527,0.016110072468745792,1.4252827440081002e-15
90.0,0.9866154513052736,0.013384548694725162,1.1396961664693363e-15
91.0,0.9888349271779234,0.011165072822075524,9.1540307664685e-16
92.0,0.9906491682711058,0.009350831728893337,7.384925492129103e-16
93.0,0.9921378361816564,0.007862163818342935,5.98354781347188e-16
94.0,0.9933640281792101,0.006635971820789361,4.86871086868648e-16
95.0,0.9943778595598832,0.005622140440116314,3.9780684267750226e-16
96.0,0.9952192555601534,0.004780744439846243,3.2635630225606983e-16
97.0,0.9959201259937961,0.004079874006203574,2.6880078645587313e-16
98.0,0.9965060599367516,0.003493940063248164,2.2225146082319913e-16
99.0,0.9969976480911816,0.0030023519088181153,1.844552541398866e-16
100.0,0.9974115165579608,0.002588483442038987,1.536479772766082e-16
