2	0.147251	0.2717
3	0.143259	0.2654
4	0.137433	0.2772
5	0.135415	0.2808
6	0.134738	0.2633
7	0.130086	0.2426
8	0.122685	0.2204
9	0.11339	    0.1929
10	0.104292	0.1673
12	0.0855904	0.1294
14	0.0683684	0.106
16	0.0543279	0.1001
18	0.0437083	0.0861
20	0.0353695	0.0739
22	0.0287692	0.0672
24	0.0234606	0.0598
26	0.0193606	0.0617
28	0.0160179	0.0546
30	0.0133408	0.0514
32	0.0110888	0.0511
34	0.00938239	0.0523
36	0.00788232	0.0459
38	0.00673419	0.0443
40	0.00575149	0.0388
42	0.00491046	0.0349
44	0.00421559	0.0305
46	0.00355806	0.0348
48	0.0030471	0.0302
50	0.00256982	0.031
52	0.00218683	0.0308
54	0.0018439	0.022
56	0.00154242	0.0254
58	0.00130371	0.0244
60	0.00108168	0.0245
62	0.000904788	0.0192
64	0.000752181	0.0206
66	0.000623123	0.0197
68	0.000517515	0.0163
70	0.00043401	0.0139
72	0.000357971	0.0134
74	0.000299011	0.0134
76	0.000255042	0.0146
78	0.000212582	0.0145
80	0.000178283	0.014
82	0.000150813	0.014
84	0.000127502	0.014
86	0.000108386	0.014
88	9.07831e-05	0.014
90	7.72304e-05	0.014
92	6.5541e-05	0.014
94	5.53469e-05	0.014
96	4.62624e-05	0.014
98	3.94997e-05	0.014
100	3.31994e-05	0.014
102	2.79481e-05	0.014
104	2.39388e-05	0.014
106	2.01048e-05	0.014
108	1.68074e-05	0.014
110	1.45339e-05	0.014
112	1.19157e-05	0.014
114	9.84826e-06	0.014
116	8.34653e-06	0.014
118	7.12598e-06	0.014
120	5.81534e-06	0.014
